useMilage,useFuelType,useTransmission,useOwnership,useManufacture,useEngine,useSeats,Coorelation Coefficient
False,False,False,False,False,False,False,-0.24388486363529882
True,False,False,False,False,False,False,0.0833846806979609
False,True,False,False,False,False,False,0.027380066827098704
True,True,False,False,False,False,False,0.18379917939247659
False,False,True,False,False,False,False,0.27967801711160367
True,False,True,False,False,False,False,0.34108870367580213
False,True,True,False,False,False,False,0.2967603112428716
True,True,True,False,False,False,False,0.38774686956830084
False,False,False,True,False,False,False,0.023063541249099706
True,False,False,True,False,False,False,0.08808833977801522
False,True,False,True,False,False,False,0.056204089114068156
True,True,False,True,False,False,False,0.18747446663001022
False,False,True,True,False,False,False,0.30901639287686866
True,False,True,True,False,False,False,0.3487674424316183
False,True,True,True,False,False,False,0.3341522643263176
True,True,True,True,False,False,False,0.40255225231136704
False,False,False,False,True,False,False,0.1387476721819737
True,False,False,False,True,False,False,0.14257073698063794
False,True,False,False,True,False,False,0.18676091570621145
True,True,False,False,True,False,False,0.23210699140305735
False,False,True,False,True,False,False,0.37846976053792336
True,False,True,False,True,False,False,0.38156230647931877
False,True,True,False,True,False,False,0.4221345388154889
True,True,True,False,True,False,False,0.43016261987675775
False,False,False,True,True,False,False,0.1431611590340207
True,False,False,True,True,False,False,0.152056300213413
False,True,False,True,True,False,False,0.19893930105998947
True,True,False,True,True,False,False,0.22354887330935524
False,False,True,True,True,False,False,0.37977082530279416
True,False,True,True,True,False,False,0.38701907242717337
False,True,True,True,True,False,False,0.43558241615802495
True,True,True,True,True,False,False,0.4369646132483467
False,False,False,False,False,True,False,0.026928316586070644
True,False,False,False,False,True,False,0.11412951637404534
False,True,False,False,False,True,False,0.049773230520184564
True,True,False,False,False,True,False,0.2053618690903657
False,False,True,False,False,True,False,0.28486676585829074
True,False,True,False,False,True,False,0.3520870136617127
False,True,True,False,False,True,False,0.3056593195699593
True,True,True,False,False,True,False,0.40534137507227475
False,False,False,True,False,True,False,0.054055221691637345
True,False,False,True,False,True,False,0.11879022422375252
False,True,False,True,False,True,False,0.0802045333129272
True,True,False,True,False,True,False,0.21123494293176737
False,False,True,True,False,True,False,0.319638030542033
True,False,True,True,False,True,False,0.36001148111313697
False,True,True,True,False,True,False,0.34240727776906843
True,True,True,True,False,True,False,0.4072474925126224
False,False,False,False,True,True,False,0.1621799080946319
True,False,False,False,True,True,False,0.16826002978899657
False,True,False,False,True,True,False,0.2119750787550827
True,True,False,False,True,True,False,0.2455221647954683
False,False,True,False,True,True,False,0.3915485539454753
True,False,True,False,True,True,False,0.3970477868812352
False,True,True,False,True,True,False,0.4291908173338054
True,True,True,False,True,True,False,0.44906049851015184
False,False,False,True,True,True,False,0.1642361342814318
True,False,False,True,True,True,False,0.17015778333246423
False,True,False,True,True,True,False,0.2156372697914083
True,True,False,True,True,True,False,0.24620872765705815
False,False,True,True,True,True,False,0.39362505121649227
True,False,True,True,True,True,False,0.3960010190644204
False,True,True,True,True,True,False,0.43828307286647417
True,True,True,True,True,True,False,0.4477646175951322
False,False,False,False,False,False,True,4.189684503730362e-05
True,False,False,False,False,False,True,0.08367008405547527
False,True,False,False,False,False,True,0.026782821871364937
True,True,False,False,False,False,True,0.18611333758557747
False,False,True,False,False,False,True,0.27978543109536025
True,False,True,False,False,False,True,0.341483150697129
False,True,True,False,False,False,True,0.29682218486838063
True,True,True,False,False,False,True,0.38982961404821703
False,False,False,True,False,False,True,0.023139690443915617
True,False,False,True,False,False,True,0.08859221631576364
False,True,False,True,False,False,True,0.05643396773921483
True,True,False,True,False,False,True,0.18700525717655792
False,False,True,True,False,False,True,0.30913122895935063
True,False,True,True,False,False,True,0.349175683653838
False,True,True,True,False,False,True,0.33472961383659294
True,True,True,True,False,False,True,0.3993674598071778
False,False,False,False,True,False,True,0.14071006761380045
True,False,False,False,True,False,True,0.14277809395295027
False,True,False,False,True,False,True,0.1917251583743369
True,True,False,False,True,False,True,0.2246491229459454
False,False,True,False,True,False,True,0.38442426103189076
True,False,True,False,True,False,True,0.3818423152224739
False,True,True,False,True,False,True,0.4217868819269047
True,True,True,False,True,False,True,0.433676362027826
False,False,False,True,True,False,True,0.13793404692559808
True,False,False,True,True,False,True,0.15009379246785814
False,True,False,True,True,False,True,0.19218340703165826
True,True,False,True,True,False,True,0.22984403573641765
False,False,True,True,True,False,True,0.38096427411499856
True,False,True,True,True,False,True,0.3856645698071761
False,True,True,True,True,False,True,0.42541640898601385
True,True,True,True,True,False,True,0.4393534881285469
False,False,False,False,False,True,True,0.027991681403510826
True,False,False,False,False,True,True,0.11513174094997769
False,True,False,False,False,True,True,0.050576877300352874
True,True,False,False,False,True,True,0.20622475520717065
False,False,True,False,False,True,True,0.28486643423363556
True,False,True,False,False,True,True,0.3523906236445622
False,True,True,False,False,True,True,0.30449385273501817
True,True,True,False,False,True,True,0.3954372718801632
False,False,False,True,False,True,True,0.05840962462012411
True,False,False,True,False,True,True,0.11907412185078481
False,True,False,True,False,True,True,0.08390518415144799
True,True,False,True,False,True,True,0.2108430818695487
False,False,True,True,False,True,True,0.31993852419622726
True,False,True,True,False,True,True,0.36025801763606524
False,True,True,True,False,True,True,0.3435926575877547
True,True,True,True,False,True,True,0.40786154432339616
False,False,False,False,True,True,True,0.16278647905042232
True,False,False,False,True,True,True,0.16873715004629608
False,True,False,False,True,True,True,0.21591629902237364
True,True,False,False,True,True,True,0.2526753016294826
False,False,True,False,True,True,True,0.39125125323936516
True,False,True,False,True,True,True,0.3942645393341885
False,True,True,False,True,True,True,0.4302129907297042
True,True,True,False,True,True,True,0.44187295777902136
False,False,False,True,True,True,True,0.16433275337840092
True,False,False,True,True,True,True,0.1708848008577657
False,True,False,True,True,True,True,0.2171661069412696
True,True,False,True,True,True,True,0.24401682966064142
False,False,True,True,True,True,True,0.39339056464898237
True,False,True,True,True,True,True,0.39619360614473864
False,True,True,True,True,True,True,0.4347132214260653
True,True,True,True,True,True,True,0.4448908891698482
